2016-04-28 22:33:37,294 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:33:37,294 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApiEmbeddedJetty\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:33:37,294 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of jersySpringRestApiEmbededJetty
2016-04-28 22:33:37,294 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for jersySpringRestApiEmbededJetty
2016-04-28 22:33:37,294 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:34:11,346 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:34:11,450 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jersyRestApi/src/main/java
2016-04-28 22:34:11,450 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jersyRestApi/src/test/java
2016-04-28 22:34:11,642 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 0 sec
2016-04-28 22:34:12,114 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:34:12,218 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:34:12,222 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:34:12,222 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:34:12,226 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:34:12,830 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:34:13,271 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:34:13,287 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:34:13,291 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:34:13,295 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
